,gwicid,time_period,season,count,swl_ground,change,latitude,longitude
58,5854,prior to 2000,summer,19,5.2631578947368425,,46.6924772,-111.978844
59,5854,prior to 2000,fall,13,6.295384615384616,,46.6924772,-111.978844
60,5854,2000-2003,winter,3,5.586666666666667,-0.18,46.6924772,-111.978844
61,5854,2000-2003,spring,4,5.625,-0.05,46.6924772,-111.978844
62,5854,2000-2003,summer,5,4.843999999999999,-0.08,46.6924772,-111.978844
63,5854,2000-2003,fall,3,5.33,-0.15,46.6924772,-111.978844
64,5854,2004-2007,winter,1,6.82,0.22,46.6924772,-111.978844
65,5854,2004-2007,spring,1,6.15,0.09,46.6924772,-111.978844
66,5854,2004-2007,summer,0,,0.0,46.6924772,-111.978844
67,5854,2004-2007,fall,0,,0.0,46.6924772,-111.978844
68,5854,2008-2011,winter,506,6.867524290513834,0.01,46.6924772,-111.978844
69,5854,2008-2011,spring,1663,5.835980650030066,-0.05,46.6924772,-111.978844
70,5854,2008-2011,summer,1452,5.506292066115702,0.14,46.6924772,-111.978844
71,5854,2008-2011,fall,513,6.4891002709551655,0.22,46.6924772,-111.978844
72,5854,2012-2015,winter,0,,0.0,46.6924772,-111.978844
73,5854,2012-2015,spring,0,,0.0,46.6924772,-111.978844
74,5854,2012-2015,summer,0,,0.0,46.6924772,-111.978844
75,5854,2012-2015,fall,0,,0.0,46.6924772,-111.978844
76,5854,2016-2019,winter,0,,0.0,46.6924772,-111.978844
77,5854,2016-2019,spring,0,,0.0,46.6924772,-111.978844
78,5854,2016-2019,summer,0,,0.0,46.6924772,-111.978844
79,5854,2016-2019,fall,0,,0.0,46.6924772,-111.978844
80,5854,2020-2023,winter,0,,0.0,46.6924772,-111.978844
81,5854,2020-2023,spring,0,,0.0,46.6924772,-111.978844
82,5854,2020-2023,summer,0,,0.0,46.6924772,-111.978844
83,5854,2020-2023,fall,0,,0.0,46.6924772,-111.978844
84,58906,prior to 2000,winter,0,,,46.5495,-112.1011
85,58906,prior to 2000,spring,0,,,46.5495,-112.1011
86,58906,prior to 2000,summer,1,49.38,,46.5495,-112.1011
87,58906,prior to 2000,fall,0,,,46.5495,-112.1011
88,58906,2000-2003,winter,0,,,46.5495,-112.1011
89,58906,2000-2003,spring,3,57.36666666666667,,46.5495,-112.1011
90,58906,2000-2003,summer,13,71.6423076923077,0.45,46.5495,-112.1011
91,58906,2000-2003,fall,13,76.72538461538463,,46.5495,-112.1011
92,58906,2004-2007,winter,53,69.91188679245283,,46.5495,-112.1011
93,58906,2004-2007,spring,63,60.019682539682535,0.05,46.5495,-112.1011
94,58906,2004-2007,summer,66,70.65378787878787,-0.01,46.5495,-112.1011
95,58906,2004-2007,fall,60,75.19066666666666,-0.02,46.5495,-112.1011
96,58906,2008-2011,winter,50,66.3704,-0.05,46.5495,-112.1011
97,58906,2008-2011,spring,53,50.792641509433956,-0.15,46.5495,-112.1011
98,58906,2008-2011,summer,51,58.25529411764706,-0.18,46.5495,-112.1011
99,58906,2008-2011,fall,53,63.45773584905661,-0.16,46.5495,-112.1011
100,58906,2012-2015,winter,51,61.18509803921569,-0.08,46.5495,-112.1011
101,58906,2012-2015,spring,50,57.26,0.13,46.5495,-112.1011
102,58906,2012-2015,summer,52,61.31153846153846,0.05,46.5495,-112.1011
103,58906,2012-2015,fall,48,65.691875,0.04,46.5495,-112.1011
104,58906,2016-2019,winter,36,66.27277777777778,0.08,46.5495,-112.1011
105,58906,2016-2019,spring,27,63.87777777777778,0.12,46.5495,-112.1011
106,58906,2016-2019,summer,26,69.08538461538461,0.13,46.5495,-112.1011
107,58906,2016-2019,fall,27,65.79666666666667,0.0,46.5495,-112.1011
108,58906,2020-2023,winter,0,,0.0,46.5495,-112.1011
109,58906,2020-2023,spring,0,,0.0,46.5495,-112.1011
110,58906,2020-2023,summer,0,,0.0,46.5495,-112.1011
111,58906,2020-2023,fall,0,,0.0,46.5495,-112.1011
112,58923,prior to 2000,winter,18,64.91166666666668,,46.54543329,-112.0746332
113,58923,prior to 2000,spring,18,65.42388888888888,,46.54543329,-112.0746332
114,58923,prior to 2000,summer,17,64.93588235294118,,46.54543329,-112.0746332
115,58923,prior to 2000,fall,18,65.42166666666667,,46.54543329,-112.0746332
116,58923,2000-2003,winter,15,75.17666666666668,0.16,46.54543329,-112.0746332
117,58923,2000-2003,spring,12,73.87666666666667,0.13,46.54543329,-112.0746332
118,58923,2000-2003,summer,8,75.13875,0.16,46.54543329,-112.0746332
119,58923,2000-2003,fall,10,75.225,0.15,46.54543329,-112.0746332
120,58923,2004-2007,winter,12,77.22083333333333,0.03,46.54543329,-112.0746332
121,58923,2004-2007,spring,11,77.01636363636364,0.04,46.54543329,-112.0746332
122,58923,2004-2007,summer,10,77.536,0.03,46.54543329,-112.0746332
123,58923,2004-2007,fall,10,76.931,0.02,46.54543329,-112.0746332
124,58923,2008-2011,winter,11,73.72,-0.05,46.54543329,-112.0746332
125,58923,2008-2011,spring,11,72.54636363636364,-0.06,46.54543329,-112.0746332
126,58923,2008-2011,summer,12,68.375,-0.12,46.54543329,-112.0746332
127,58923,2008-2011,fall,12,66.7375,-0.13,46.54543329,-112.0746332
128,58923,2012-2015,winter,9,59.724444444444444,-0.19,46.54543329,-112.0746332
129,58923,2012-2015,spring,12,61.086666666666666,-0.16,46.54543329,-112.0746332
130,58923,2012-2015,summer,11,62.71727272727273,-0.08,46.54543329,-112.0746332
131,58923,2012-2015,fall,11,63.77818181818182,-0.04,46.54543329,-112.0746332
132,58923,2016-2019,winter,9,68.60888888888888,0.15,46.54543329,-112.0746332
133,58923,2016-2019,spring,9,62.61222222222222,0.02,46.54543329,-112.0746332
134,58923,2016-2019,summer,10,61.452999999999996,-0.02,46.54543329,-112.0746332
135,58923,2016-2019,fall,9,60.49777777777778,-0.05,46.54543329,-112.0746332
136,58923,2020-2023,winter,2,51.849999999999994,-0.24,46.54543329,-112.0746332
137,58923,2020-2023,spring,3,57.13333333333333,-0.09,46.54543329,-112.0746332
138,58923,2020-2023,summer,3,59.129999999999995,-0.04,46.54543329,-112.0746332
139,58923,2020-2023,fall,3,52.78,-0.13,46.54543329,-112.0746332
140,59133,prior to 2000,winter,17,28.25529411764706,,46.5438,-112.1822
141,59133,prior to 2000,spring,18,26.06,,46.5438,-112.1822
142,59133,prior to 2000,summer,15,30.308,,46.5438,-112.1822
143,59133,prior to 2000,fall,18,29.84,,46.5438,-112.1822
144,59133,2000-2003,winter,15,36.87466666666667,0.31,46.5438,-112.1822
145,59133,2000-2003,spring,12,32.762499999999996,0.26,46.5438,-112.1822
146,59133,2000-2003,summer,11,38.88727272727272,0.28,46.5438,-112.1822
147,59133,2000-2003,fall,10,38.958999999999996,0.31,46.5438,-112.1822
148,59133,2004-2007,winter,9,33.922222222222224,-0.08,46.5438,-112.1822
149,59133,2004-2007,spring,7,30.728571428571428,-0.06,46.5438,-112.1822
150,59133,2004-2007,summer,9,33.388888888888886,-0.14,46.5438,-112.1822
151,59133,2004-2007,fall,8,35.35875,-0.09,46.5438,-112.1822
152,59133,2008-2011,winter,10,29.309000000000005,-0.14,46.5438,-112.1822
153,59133,2008-2011,spring,10,26.309000000000005,-0.14,46.5438,-112.1822
154,59133,2008-2011,summer,10,21.527,-0.36,46.5438,-112.1822
155,59133,2008-2011,fall,11,23.64818181818182,-0.33,46.5438,-112.1822
156,59133,2012-2015,winter,8,15.2575,-0.48,46.5438,-112.1822
157,59133,2012-2015,spring,11,14.015454545454547,-0.47,46.5438,-112.1822
158,59133,2012-2015,summer,10,15.362,-0.29,46.5438,-112.1822
159,59133,2012-2015,fall,12,15.389166666666668,-0.35,46.5438,-112.1822
160,59133,2016-2019,winter,5,14.998,-0.02,46.5438,-112.1822
161,59133,2016-2019,spring,7,14.421428571428573,0.03,46.5438,-112.1822
162,59133,2016-2019,summer,9,12.766666666666667,-0.17,46.5438,-112.1822
163,59133,2016-2019,fall,7,14.648571428571428,-0.05,46.5438,-112.1822
164,59133,2020-2023,winter,3,13.24,-0.12,46.5438,-112.1822
165,59133,2020-2023,spring,2,14.455,0.0,46.5438,-112.1822
166,59133,2020-2023,summer,2,15.43,0.21,46.5438,-112.1822
167,59133,2020-2023,fall,2,17.855,0.22,46.5438,-112.1822
168,62006,prior to 2000,winter,11,42.599999999999994,,46.60513469,-112.0159301
169,62006,prior to 2000,spring,10,42.620999999999995,,46.60513469,-112.0159301
170,62006,prior to 2000,summer,11,40.33090909090909,,46.60513469,-112.0159301
171,62006,prior to 2000,fall,10,39.726,,46.60513469,-112.0159301
172,62006,2000-2003,winter,10,40.835,-0.04,46.60513469,-112.0159301
173,62006,2000-2003,spring,11,40.13272727272727,-0.06,46.60513469,-112.0159301
174,62006,2000-2003,summer,10,38.219,-0.05,46.60513469,-112.0159301
175,62006,2000-2003,fall,9,39.14,-0.01,46.60513469,-112.0159301
176,62006,2004-2007,winter,12,36.982499999999995,-0.09,46.60513469,-112.0159301
177,62006,2004-2007,spring,10,35.212,-0.12,46.60513469,-112.0159301
178,62006,2004-2007,summer,9,33.663333333333334,-0.12,46.60513469,-112.0159301
179,62006,2004-2007,fall,10,34.132999999999996,-0.13,46.60513469,-112.0159301
180,62006,2008-2011,winter,12,33.085,-0.11,46.60513469,-112.0159301
181,62006,2008-2011,spring,12,32.15416666666667,-0.09,46.60513469,-112.0159301
182,62006,2008-2011,summer,11,30.44454545454545,-0.1,46.60513469,-112.0159301
183,62006,2008-2011,fall,12,32.152499999999996,-0.06,46.60513469,-112.0159301
184,62006,2012-2015,winter,12,32.36833333333333,-0.02,46.60513469,-112.0159301
185,62006,2012-2015,spring,11,31.94363636363636,-0.01,46.60513469,-112.0159301
186,62006,2012-2015,summer,11,31.389090909090907,0.03,46.60513469,-112.0159301
187,62006,2012-2015,fall,12,31.901666666666667,-0.01,46.60513469,-112.0159301
188,62006,2016-2019,winter,10,32.629000000000005,0.01,46.60513469,-112.0159301
189,62006,2016-2019,spring,9,31.900000000000002,-0.0,46.60513469,-112.0159301
190,62006,2016-2019,summer,12,30.933333333333334,-0.01,46.60513469,-112.0159301
191,62006,2016-2019,fall,9,31.656666666666663,-0.01,46.60513469,-112.0159301
192,62006,2020-2023,winter,3,36.86333333333334,0.13,46.60513469,-112.0159301
193,62006,2020-2023,spring,2,38.285,0.2,46.60513469,-112.0159301
194,62006,2020-2023,summer,1,37.57,0.21,46.60513469,-112.0159301
195,62006,2020-2023,fall,2,34.81,0.1,46.60513469,-112.0159301
196,62261,prior to 2000,winter,18,42.925555555555555,,46.58213419,-112.01803
197,62261,prior to 2000,spring,19,42.072631578947366,,46.58213419,-112.01803
198,62261,prior to 2000,summer,17,38.90823529411765,,46.58213419,-112.01803
199,62261,prior to 2000,fall,18,39.99666666666667,,46.58213419,-112.01803
200,62261,2000-2003,winter,15,44.808,0.04,46.58213419,-112.01803
201,62261,2000-2003,spring,11,42.302727272727275,0.01,46.58213419,-112.01803
202,62261,2000-2003,summer,11,39.54454545454546,0.02,46.58213419,-112.01803
203,62261,2000-2003,fall,10,40.114,0.0,46.58213419,-112.01803
204,62261,2004-2007,winter,11,43.50727272727273,-0.03,46.58213419,-112.01803
205,62261,2004-2007,spring,11,42.63181818181818,0.01,46.58213419,-112.01803
206,62261,2004-2007,summer,10,40.433,0.02,46.58213419,-112.01803
207,62261,2004-2007,fall,10,40.798,0.02,46.58213419,-112.01803
208,62261,2008-2011,winter,12,42.4675,-0.02,46.58213419,-112.01803
209,62261,2008-2011,spring,12,40.37,-0.05,46.58213419,-112.01803
210,62261,2008-2011,summer,12,38.09916666666667,-0.06,46.58213419,-112.01803
211,62261,2008-2011,fall,12,40.235,-0.01,46.58213419,-112.01803
212,62261,2012-2015,winter,12,34.39083333333333,-0.19,46.58213419,-112.01803
213,62261,2012-2015,spring,12,36.972500000000004,-0.08,46.58213419,-112.01803
214,62261,2012-2015,summer,12,37.38,-0.02,46.58213419,-112.01803
215,62261,2012-2015,fall,12,35.91916666666666,-0.11,46.58213419,-112.01803
216,62261,2016-2019,winter,10,41.571,0.21,46.58213419,-112.01803
217,62261,2016-2019,spring,9,38.38111111111111,0.04,46.58213419,-112.01803
218,62261,2016-2019,summer,10,38.792,0.04,46.58213419,-112.01803
219,62261,2016-2019,fall,10,39.304,0.09,46.58213419,-112.01803
220,62261,2020-2023,winter,3,38.26666666666667,-0.08,46.58213419,-112.01803
221,62261,2020-2023,spring,2,32.455,-0.15,46.58213419,-112.01803
222,62261,2020-2023,summer,2,35.3,-0.09,46.58213419,-112.01803
223,62261,2020-2023,fall,2,37.53,-0.05,46.58213419,-112.01803
224,62369,prior to 2000,winter,52,32.893076923076926,,46.6524045,-112.0795444
225,62369,prior to 2000,spring,60,32.175,,46.6524045,-112.0795444
226,62369,prior to 2000,summer,60,32.4745,,46.6524045,-112.0795444
227,62369,prior to 2000,fall,49,32.18530612244898,,46.6524045,-112.0795444
228,62369,2000-2003,winter,9,35.45666666666667,0.08,46.6524045,-112.0795444
229,62369,2000-2003,spring,10,35.775999999999996,0.11,46.6524045,-112.0795444
230,62369,2000-2003,summer,13,36.925384615384615,0.14,46.6524045,-112.0795444
231,62369,2000-2003,fall,6,36.64833333333333,0.14,46.6524045,-112.0795444
232,62369,2004-2007,winter,14,36.645714285714284,0.03,46.6524045,-112.0795444
233,62369,2004-2007,spring,19,36.742105263157896,0.03,46.6524045,-112.0795444
234,62369,2004-2007,summer,24,36.85125,-0.0,46.6524045,-112.0795444
235,62369,2004-2007,fall,16,36.13,-0.01,46.6524045,-112.0795444
236,62369,2008-2011,winter,1626,35.90319622878229,-0.02,46.6524045,-112.0795444
237,62369,2008-2011,spring,2704,35.88357036094674,-0.02,46.6524045,-112.0795444
238,62369,2008-2011,summer,1900,35.55817046210527,-0.04,46.6524045,-112.0795444
239,62369,2008-2011,fall,1234,35.55884297974068,-0.02,46.6524045,-112.0795444
240,62369,2012-2015,winter,12,33.6075,-0.06,46.6524045,-112.0795444
241,62369,2012-2015,spring,10,34.658,-0.03,46.6524045,-112.0795444
242,62369,2012-2015,summer,10,36.201,0.02,46.6524045,-112.0795444
243,62369,2012-2015,fall,12,36.04916666666667,0.01,46.6524045,-112.0795444
244,62369,2016-2019,winter,10,36.896,0.1,46.6524045,-112.0795444
245,62369,2016-2019,spring,12,32.431666666666665,-0.06,46.6524045,-112.0795444
246,62369,2016-2019,summer,9,31.900000000000002,-0.12,46.6524045,-112.0795444
247,62369,2016-2019,fall,10,32.63,-0.09,46.6524045,-112.0795444
248,62369,2020-2023,winter,6,30.09166666666667,-0.18,46.6524045,-112.0795444
249,62369,2020-2023,spring,7,34.027142857142856,0.05,46.6524045,-112.0795444
250,62369,2020-2023,summer,5,34.132,0.07,46.6524045,-112.0795444
251,62369,2020-2023,fall,4,31.935000000000002,-0.02,46.6524045,-112.0795444
252,62385,prior to 2000,winter,6,15.921666666666667,,46.6593527,-112.0942661
253,62385,prior to 2000,spring,12,15.8775,,46.6593527,-112.0942661
254,62385,prior to 2000,summer,10,16.037,,46.6593527,-112.0942661
255,62385,prior to 2000,fall,9,15.92888888888889,,46.6593527,-112.0942661
256,62385,2000-2003,winter,0,,0.0,46.6593527,-112.0942661
257,62385,2000-2003,spring,0,,0.0,46.6593527,-112.0942661
258,62385,2000-2003,summer,0,,0.0,46.6593527,-112.0942661
259,62385,2000-2003,fall,0,,0.0,46.6593527,-112.0942661
260,62385,2004-2007,winter,1,16.41,0.03,46.6593527,-112.0942661
261,62385,2004-2007,spring,0,,0.0,46.6593527,-112.0942661
262,62385,2004-2007,summer,0,,0.0,46.6593527,-112.0942661
263,62385,2004-2007,fall,0,,0.0,46.6593527,-112.0942661
264,62385,2008-2011,winter,1147,17.062142667829118,0.04,46.6593527,-112.0942661
265,62385,2008-2011,spring,1752,16.13768614155251,0.02,46.6593527,-112.0942661
266,62385,2008-2011,summer,1615,16.461763386377708,0.03,46.6593527,-112.0942661
267,62385,2008-2011,fall,1238,17.572609431340872,0.1,46.6593527,-112.0942661
268,62385,2012-2015,winter,0,,0.0,46.6593527,-112.0942661
269,62385,2012-2015,spring,0,,0.0,46.6593527,-112.0942661
270,62385,2012-2015,summer,0,,0.0,46.6593527,-112.0942661
271,62385,2012-2015,fall,0,,0.0,46.6593527,-112.0942661
272,62385,2016-2019,winter,0,,0.0,46.6593527,-112.0942661
273,62385,2016-2019,spring,0,,0.0,46.6593527,-112.0942661
274,62385,2016-2019,summer,0,,0.0,46.6593527,-112.0942661
275,62385,2016-2019,fall,0,,0.0,46.6593527,-112.0942661
276,62385,2020-2023,winter,0,,0.0,46.6593527,-112.0942661
277,62385,2020-2023,spring,0,,0.0,46.6593527,-112.0942661
278,62385,2020-2023,summer,0,,0.0,46.6593527,-112.0942661
279,62385,2020-2023,fall,0,,0.0,46.6593527,-112.0942661
280,62523,prior to 2000,winter,1,12.48,,46.6330975,-112.0619057
281,62523,prior to 2000,spring,0,,,46.6330975,-112.0619057
282,62523,prior to 2000,summer,1,8.53,,46.6330975,-112.0619057
283,62523,prior to 2000,fall,0,,,46.6330975,-112.0619057
284,62523,2000-2003,winter,0,,0.0,46.6330975,-112.0619057
285,62523,2000-2003,spring,0,,,46.6330975,-112.0619057
286,62523,2000-2003,summer,0,,0.0,46.6330975,-112.0619057
287,62523,2000-2003,fall,0,,,46.6330975,-112.0619057
288,62523,2004-2007,winter,0,,0.0,46.6330975,-112.0619057
289,62523,2004-2007,spring,0,,,46.6330975,-112.0619057
290,62523,2004-2007,summer,0,,0.0,46.6330975,-112.0619057
291,62523,2004-2007,fall,0,,,46.6330975,-112.0619057
292,62523,2008-2011,winter,1884,11.022238102441612,-0.12,46.6330975,-112.0619057
293,62523,2008-2011,spring,3690,10.099279389701897,,46.6330975,-112.0619057
294,62523,2008-2011,summer,2122,9.705559959000942,0.14,46.6330975,-112.0619057
295,62523,2008-2011,fall,1806,11.003223702657806,,46.6330975,-112.0619057
296,62523,2012-2015,winter,0,,0.0,46.6330975,-112.0619057
297,62523,2012-2015,spring,0,,0.0,46.6330975,-112.0619057
298,62523,2012-2015,summer,0,,0.0,46.6330975,-112.0619057
299,62523,2012-2015,fall,0,,0.0,46.6330975,-112.0619057
300,62523,2016-2019,winter,6,12.531666666666666,0.14,46.6330975,-112.0619057
301,62523,2016-2019,spring,5,10.752,0.06,46.6330975,-112.0619057
302,62523,2016-2019,summer,4,11.895,0.23,46.6330975,-112.0619057
303,62523,2016-2019,fall,8,12.335,0.12,46.6330975,-112.0619057
304,62523,2020-2023,winter,0,,0.0,46.6330975,-112.0619057
305,62523,2020-2023,spring,0,,0.0,46.6330975,-112.0619057
306,62523,2020-2023,summer,0,,0.0,46.6330975,-112.0619057
307,62523,2020-2023,fall,0,,0.0,46.6330975,-112.0619057
308,62802,prior to 2000,winter,20,55.541,,46.604177,-112.074286
309,62802,prior to 2000,spring,18,55.17944444444444,,46.604177,-112.074286
310,62802,prior to 2000,summer,16,55.081875,,46.604177,-112.074286
311,62802,prior to 2000,fall,17,55.58705882352941,,46.604177,-112.074286
312,62802,2000-2003,winter,15,56.75866666666666,0.02,46.604177,-112.074286
313,62802,2000-2003,spring,12,57.02333333333333,0.03,46.604177,-112.074286
314,62802,2000-2003,summer,11,57.55,0.04,46.604177,-112.074286
315,62802,2000-2003,fall,10,57.561,0.04,46.604177,-112.074286
316,62802,2004-2007,winter,11,61.65363636363636,0.09,46.604177,-112.074286
317,62802,2004-2007,spring,11,62.61818181818182,0.1,46.604177,-112.074286
318,62802,2004-2007,summer,9,62.443333333333335,0.09,46.604177,-112.074286
319,62802,2004-2007,fall,10,61.362,0.07,46.604177,-112.074286
320,62802,2008-2011,winter,11,61.36181818181819,-0.0,46.604177,-112.074286
321,62802,2008-2011,spring,12,61.656666666666666,-0.02,46.604177,-112.074286
322,62802,2008-2011,summer,12,61.134166666666665,-0.02,46.604177,-112.074286
323,62802,2008-2011,fall,12,60.7125,-0.01,46.604177,-112.074286
324,62802,2012-2015,winter,12,60.08166666666667,-0.02,46.604177,-112.074286
325,62802,2012-2015,spring,9,60.65222222222222,-0.02,46.604177,-112.074286
326,62802,2012-2015,summer,8,61.27875,0.0,46.604177,-112.074286
327,62802,2012-2015,fall,12,60.25666666666667,-0.01,46.604177,-112.074286
328,62802,2016-2019,winter,10,59.693,-0.01,46.604177,-112.074286
329,62802,2016-2019,spring,8,56.72875,-0.06,46.604177,-112.074286
330,62802,2016-2019,summer,11,60.41181818181818,-0.01,46.604177,-112.074286
331,62802,2016-2019,fall,8,57.73625,-0.04,46.604177,-112.074286
332,62802,2020-2023,winter,6,55.23333333333333,-0.07,46.604177,-112.074286
333,62802,2020-2023,spring,7,55.089999999999996,-0.03,46.604177,-112.074286
334,62802,2020-2023,summer,4,55.35,-0.08,46.604177,-112.074286
335,62802,2020-2023,fall,4,54.4,-0.06,46.604177,-112.074286
336,62995,prior to 2000,winter,11,15.422727272727274,,46.5705,-112.2427
337,62995,prior to 2000,spring,12,13.743333333333332,,46.5705,-112.2427
338,62995,prior to 2000,summer,11,16.484545454545454,,46.5705,-112.2427
339,62995,prior to 2000,fall,13,16.70846153846154,,46.5705,-112.2427
340,62995,2000-2003,winter,15,17.776,0.15,46.5705,-112.2427
341,62995,2000-2003,spring,12,16.520833333333332,0.2,46.5705,-112.2427
342,62995,2000-2003,summer,11,17.75,0.08,46.5705,-112.2427
343,62995,2000-2003,fall,10,17.835,0.07,46.5705,-112.2427
344,62995,2004-2007,winter,12,14.835,-0.17,46.5705,-112.2427
345,62995,2004-2007,spring,11,12.658181818181818,-0.23,46.5705,-112.2427
346,62995,2004-2007,summer,10,14.25,-0.2,46.5705,-112.2427
347,62995,2004-2007,fall,10,14.825999999999999,-0.17,46.5705,-112.2427
348,62995,2008-2011,winter,12,13.385833333333332,-0.1,46.5705,-112.2427
349,62995,2008-2011,spring,11,11.604545454545455,-0.08,46.5705,-112.2427
350,62995,2008-2011,summer,11,13.342727272727274,-0.06,46.5705,-112.2427
351,62995,2008-2011,fall,12,13.703333333333333,-0.08,46.5705,-112.2427
352,62995,2012-2015,winter,12,14.345833333333333,0.07,46.5705,-112.2427
353,62995,2012-2015,spring,12,13.7575,0.19,46.5705,-112.2427
354,62995,2012-2015,summer,11,15.72272727272727,0.18,46.5705,-112.2427
355,62995,2012-2015,fall,11,15.42818181818182,0.13,46.5705,-112.2427
356,62995,2016-2019,winter,11,13.637272727272727,-0.05,46.5705,-112.2427
357,62995,2016-2019,spring,9,11.66777777777778,-0.15,46.5705,-112.2427
358,62995,2016-2019,summer,5,13.5,-0.14,46.5705,-112.2427
359,62995,2016-2019,fall,8,15.225,-0.01,46.5705,-112.2427
360,62995,2020-2023,winter,3,14.776666666666666,0.08,46.5705,-112.2427
361,62995,2020-2023,spring,2,13.760000000000002,0.18,46.5705,-112.2427
362,62995,2020-2023,summer,1,15.97,0.18,46.5705,-112.2427
363,62995,2020-2023,fall,2,15.040000000000001,-0.01,46.5705,-112.2427
364,64686,prior to 2000,winter,0,,,46.7404124,-112.0215656
365,64686,prior to 2000,spring,0,,,46.7404124,-112.0215656
366,64686,prior to 2000,summer,0,,,46.7404124,-112.0215656
367,64686,prior to 2000,fall,0,,,46.7404124,-112.0215656
368,64686,2000-2003,winter,0,,,46.7404124,-112.0215656
